№ октавн. Полосы;Lшi;L(c+ш)i;Lc1i;Lc2i;Zi;Ls;Lci;gi;Ei;ΔAi;pi;ki;Ai;S;W
250,00;33,00;50,00;65,00;1,00;64,00;66,00;2,00;-31,00;-2179,17;2148,17;0,00;2,00;0,000;12,0000;21,0000
500,00;30,00;51,00;64,00;5,00;59,00;66,00;7,00;-23,00;-2917,22;2894,22;0,00;2,00;0,000;;
1000,00;33,00;45,00;60,00;3,00;57,00;61,00;4,00;-29,00;-3928,32;3899,32;4,00;0,00;4,000;;
2000,00;32,00;35,00;58,00;4,00;54,00;56,00;2,00;-30,00;-26,09;-3,91;0,02;4,00;0,061;;
4000,00;30,00;31,00;54,00;6,00;48,00;53,00;5,00;-25,00;-23,10;-1,90;0,03;5,00;0,142;;
