Ёкспериментально-расчетна€ оценка коэффициентов звуко- и виброизол€ции;;;;;;;;
i;„астота n, √ц;Vшi;V(c+ш)i;Vc1i;V(c+ш)i - Vшi;D;Vc2i;Gi
1;250;64,5;94,7;93,9;30,2;0;94,7;-0,8
2;500;61,1;97,7;98,1;36,6;0;97,7;0,4
3;1000;51,3;95,5;98,8;44,2;0;95,5;3,3
4;2000;48,9;98;99,7;49,1;0;98;1,7
5;4000;48,9;94,3;93,2;45,4;0;94,3;-1,1
6;;52;59;65;7;0;59;6
7;;52;58;64;6;1;57;7
8;;52;60;60;8;0;60;0
9;;52;55;58;3;3;52;6
10;;52;54;54;2;4;50;4
