;1970 (1,000);1980 (1,000);1990 (1,000);1995 (1,000);1996 (1,000);1997 (1,000);1998 (1,000);1999 (1,000);2000 (1,000);2001 (1,000);2002 (1,000);2003 (1,000);2004 (1,000);2005 (1,000);2006 (1,000);
Sex and race;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
  Female ;9,4;8,0;7,3;7,3;7,1;7,1;7,1;7,2;7,2;7,1;7,0;6,9;6,7;8,5;6,5;
Black ;15,2;13,1;12,5;12,2;11,8;11,4;11,3;11,4;11,2;11,0;10,8;10,7;10,3;10,2;9,8;
  Male ;18,7;17,0;16,4;15,8;15,2;14,6;14,3;14,3;14,0;13,8;13,4;13,2;12,7;12,5;12,2;
  Female ;12,3;10,3;9,8;9,7;9,4;9,2;9,2;9,3;9,3;9,1;9,0;8,9;8,6;8,5;8,1;
Asian or Pacific Islander;(NA);5,9;5,8;6,2;5,4;5,3;5,2;5,2;5,1;4,9;4,7;4,7;4,4;4,4;4,3;
  Male ;(NA);7,9;7,2;7,9;6,8;6,6;6,5;6,4;6,2;6,0;5,8;5,6;5,3;5,3;5,2;
  Female ;(NA);4,3;4,7;4,9;4,4;4,3;4,3;4,3;4,2;4,1;4,0;3,9;3,8;3,7;3,6;
American Indian, Eskimo, Aleut ;(NA);8,7;7,2;7,2;7,6;7,7;7,7;7,8;7,1;6,9;6,8;6,9;6,5;6,6;6,4;
  Male ;(NA);11,1;9,2;8,6;9,2;9,7;9,4;9,3;8,4;8,0;7,9;8,0;7,6;7,8;7,4;
  Female ;(NA);6,6;5,6;5,9;6,4;6,3;6,4;6,7;6,0;5,9;5,8;5,9;5,6;5,7;5,6;
Hispanic origin \2 ;(NA);(NA);(NA);(NA);(NA);6,7;6,7;6,8;6,7;6,6;6,3;6,2;5,9;5,9;5,6;
  Male ;(NA);(NA);8,9;(NA);(NA);8,4;8,3;8,3;8,2;8,0;7,7;7,5;7,1;7,2;6,8;
  Female ;(NA);(NA);5,4;(NA);(NA);5,4;5,4;5,6;5,5;5,4;5,2;5,2;4,9;4,9;4,7;
Non-Hispanic White;(NA);(NA);(NA);(NA);(NA);8,6;8,5;8,6;8,6;8,4;8,4;8,3;8,0;8,0;7,8;
  Male ;(NA);(NA);11,7;(NA);(NA);10,6;10,5;10,5;10,4;10,1;10,0;9,8;9,5;9,5;9,2;
  Female ;(NA);(NA);7,3;(NA);(NA);7,1;7,1;7,2;7,2;7,1;7,1;7,0;6,8;6,8;6,6;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
