     Sex, year, and race;Rates per 100,000;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;All ages \1;Under 1 year;1 to 4 years;5 to 14 years;15 to 24 years;25 to 34 years;35 to 44 years;45 to 54 years;55 to 64 years;65 to 74 years;75 to 84 years;85 years and over;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
MALE;;;;;;;;;;;;;;;;;;;;;
    1999;761;1 403;52;23;60;122;283;581;1 256;2 732;6 003;14 263;;;;;;;;;
    2000;733;1 280;45;20;58;122;272;588;1 227;2 690;5 697;13 941;;;;;;;;;
    2001;728;1 176;42;19;55;118;278;579;1 216;2 616;5 592;13 850;;;;;;;;;
    2002;724;1 172;40;20;54;116;272;579;1 184;2 545;5 584;13 734;;;;;;;;;
    2003;718;1 132;40;19;54;114;270;582;1 179;2 487;5 386;13 617;;;;;;;;;
    2004;700;1 150;41;21;54;112;256;564;1 129;2 386;5 300;12 897;;;;;;;;;
    2005;704;1 180;37;19;51;110;250;568;1 104;2 342;5 264;12 790;;;;;;;;;
    2006;684;1 195;39;17;51;107;245;548;1 076;2 240;5 029;12 197;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
  Asian or Pacific Islander \2:;;;;;;;;;;;;;;;;;;;;;
    1980;223;756;35;22;32;45;90;214;441;1 028;2 834;7 923;;;;;;;;;
    1985;225;622;37;19;31;37;78;185;468;1 131;2 874;9 808;;;;;;;;;
    1990;234;518;32;13;29;38;70;183;483;1 089;3 128;10 254;;;;;;;;;
    1995;258;360;24;15;34;38;69;191;476;1 062;3 279;11 256;;;;;;;;;
    1996;258;347;26;11;31;35;69;174;418;1 091;3 119;8 599;;;;;;;;;
    1997;264;344;25;14;33;32;74;167;423;1 117;3 052;8 414;;;;;;;;;
    1998;263;380;20;12;29;34;62;161;413;1 083;2 917;8 618;;;;;;;;;
    1999;273;373;19;12;29;32;61;174;431;1 106;2 980;8 397;;;;;;;;;
    2000;262;434;20;12;22;28;66;156;391;996;2 882;9 052;;;;;;;;;
    2001;274;385;21;11;27;33;62;159;380;1 060;2 814;8 706;;;;;;;;;
    2002;270;391;20;10;24;27;54;150;372;1 025;2 714;8 401;;;;;;;;;
    2003;279;428;20;12;29;30;58;151;359;990;2 682;8 329;;;;;;;;;
    2004;275;392;22;10;24;27;54;146;340;933;2 558;8 126;;;;;;;;;
    2005;283;395;18;12;26;29;58;143;353;906;2 530;7 793;;;;;;;;;
    2006;286;357;21;10;25;29;57;145;333;898;2 526;7 560;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
  American Indian, Eskimo, Aleut \2:;;;;;;;;;;;;;;;;;;;;;
    1980;380;1 353;88;34;90;179;286;491;837;1 766;3 613;8 567;;;;;;;;;
    1985;343;911;55;23;73;122;186;416;852;1 630;3 200;7 740;;;;;;;;;
    1990;330;689;38;26;69;102;156;381;806;1 679;3 073;8 201;;;;;;;;;
    1995;391;757;60;23;65;116;194;387;918;1 894;3 591;6 521;;;;;;;;;
    1996;396;718;67;24;63;109;196;435;862;1 879;3 657;6 194;;;;;;;;;
    1997;393;646;67;22;58;116;196;387;867;1 921;3 532;5 774;;;;;;;;;
    1998;407;825;54;20;64;118;195;388;864;1 932;3 441;6 367;;;;;;;;;
    1999;431;773;43;22;68;124;212;365;960;2 042;3 673;6 395;;;;;;;;;
    2000;346;492;40;18;59;85;172;285;772;1 900;3 850;9 118;;;;;;;;;
    2001;360;578;49;19;60;81;173;334;749;1 802;3 840;8 492;;;;;;;;;
    2002;368;744;42;21;62;88;177;325;748;1 829;3 667;7 866;;;;;;;;;
    2003;388;676;43;18;62;89;196;364;785;1 711;3 834;7 920;;;;;;;;;
    2004;380;715;53;20;65;103;192;340;704;1 701;3 533;7 094;;;;;;;;;
    2005;399;753;46;17;68;91;194;366;699;1 781;3 603;7 065;;;;;;;;;
    2006;400;690;51;17;64;92;205;342;687;1 657;3 746;6 634;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
