Year;Procedures started \1;Number of pregnancies;live birth deliveries /2;live born infants;;;
;;;;;;;
;;;;;;;
;;;;;;;
2000;99 629;30 557;25 228;35 025;;;
2001;107 587;35 726;29 344;40 687;;;
2002;115 392;40 046;33 141;45 751;;;
2003;122 872;43 503;35 785;48 756;;;
2004;127 977;44 774;36 760;49 458;;;
2005;134 260;47 651;38 910;52 041;;;
2006;138 198;50 571;41 343;54 656;;;
;;;;;;;
;;;;;;;
;;;;;;;
