;;;Total \1;;;;;;;;;White;;;;;;;;;Black;;;;;;;;
;Post office abbreviation;2-DIGIT ANSI code;;;;;;;;;;;;;;;;;;;;;;;;;;;
State;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1980;1990;2000;2001;2002;2003;2004;2005;2006;1980;1990;2000;2001;2002;2003;2004;2005;2006;1980;1990;2000;2001;2002;2003;2004;2005;2006
Mississippi;MS;28;17,0;12,1;10,7;10,5;10,3;10,7;9,8;11,4;10,6;11,1;7,4;6,8;7,0;6,9;6,9;6,2;6,6;7,1;23,7;16,2;15,3;14,9;14,8;15,3;14,6;17,2;14,6
Missouri;MO;29;12,4;9,4;7,2;7,4;8,5;7,9;7,5;7,5;7,4;11,1;7,9;5,9;5,9;7,1;6,8;6,4;6,4;6,1;20,7;18,2;14,7;16,5;17,1;15,1;14,7;14,6;14,9
Montana;MT;30;12,4;9,0;6,1;6,7;7,5;6,8;4,5;7,0;5,8;11,8;6,0;5,5;6,7;7,1;6,5;4,2;6,7;5,0;(NA);(B);(B);(B);(B);(B);      (B);     (B);(B)
Nebraska;NE;31;11,5;8,3;7,3;6,8;7,0;5,4;6,6;5,6;5,6;10,7;6,9;6,4;6,4;6,1;4,8;5,9;5,2;5,2;25,2;18,9;20,3;(B);20,8;15,7;16,5;     (B);10,6
Nevada;NV;32;10,7;8,4;6,5;5,7;6,0;5,7;6,4;5,8;6,4;10,0;8,2;6,0;5,1;5,1;5,3;5,3;5,2;5,8;20,6;14,2;12,7;17,1;18,4;12,1;18,6;13,7;15,7
New Hampshire;NH;33;9,9;7,1;5,7;3,8;5,0;4,0;5,6;5,3;6,1;9,9;6,0;5,5;3,8;5,3;4,0;5,3;5,0;5,7;22,5;(B);(B);(B);(B);(B);      (B);     (B);(B)
New Jersey;NJ;34;12,5;9,0;6,3;6,5;5,7;5,7;5,7;5,2;5,5;10,3;6,4;5,0;5,1;4,5;4,5;4,8;4,0;4,4;21,9;18,4;13,6;14,2;12,8;11,8;10,7;11,0;11,5
New Mexico;NM;35;11,5;9,0;6,6;6,4;6,3;5,8;6,3;6,1;5,8;11,3;7,6;6,3;6,3;5,7;5,5;5,8;5,6;5,7;23,1;(B);(B);(B);(B);(B);      (B);     (B);(B)
New York;NY;36;12,5;9,6;6,4;5,8;6,0;6,0;6,1;5,8;5,6;10,8;7,4;5,4;5,1;5,4;5,0;5,0;5,0;4,9;20,0;18,1;10,9;9,7;9,9;11,4;10,9;9,3;9,2
North Carolina;NC;37;14,5;10,6;8,6;8,5;8,2;8,2;8,8;8,8;8,1;12,1;8,0;6,3;6,1;5,9;6,1;6,3;6,5;6,0;20,0;16,5;15,7;15,8;15,6;15,7;16,8;16,4;15,1
North Dakota;ND;38;12,1;8,0;8,1;8,8;6,3;7,3;5,6;6,0;5,8;11,7;7,2;7,5;8,0;5,6;7,0;5,1;5,8;4,9;27,5;(B);(B);(B);(B);(B);      (B);     (B);(B)
Ohio;OH;39;12,8;9,8;7,6;7,7;7,9;7,7;7,7;8,3;7,8;11,2;7,8;6,3;6,2;6,2;6,5;6,1;6,7;6,1;23,0;19,5;15,4;16,4;17,7;15,4;16,3;16,9;16,9
Oklahoma;OK;40;12,7;9,2;8,5;7,3;8,1;7,8;8,0;8,1;8,0;12,1;9,1;7,9;6,5;7,1;7,3;7,1;7,3;6,8;21,8;14,3;16,9;15,0;17,2;14,9;17,2;15,4;15,4
Oregon;OR;41;12,2;8,3;5,6;5,4;5,8;5,6;5,5;5,9;5,5;12,2;7,0;5,5;5,5;5,6;5,5;5,3;5,9;5,3;15,9;(B);(B);(B);(B);(B);      (B);     (B);(B)
Pennsylvania;PA;42;13,2;9,6;7,1;7,2;7,6;7,3;7,3;7,3;7,6;11,9;7,4;5,8;6,1;6,6;6,2;6,2;6,2;6,2;23,1;20,5;15,7;14,4;15,1;14,9;13,5;14,1;15,2
Rhode Island;RI;44;11,0;8,1;6,3;6,8;7,0;6,7;5,3;6,5;6,1;10,9;7,0;5,9;6,1;6,4;6,4;5,0;5,8;5,7;(B);(B);(B);(B);(B);(B);      (B);     (B);(B)
South Carolina;SC;45;15,6;11,7;8,7;8,9;9,3;8,3;9,3;9,4;8,4;10,8;8,1;5,4;5,9;6,0;5,9;6,8;7,1;5,7;22,9;17,3;14,8;15,0;15,8;13,5;14,1;13,8;13,8
South Dakota;SD;46;10,9;10,1;5,5;7,4;6,5;6,7;8,2;7,2;6,9;9,0;8,0;4,3;6,1;4,9;4,9;7,0;6,0;5,3;(NA);(B);(B);(B);(B);(B);       (B);     (B);(B)
Tennessee;TN;47;13,5;10,3;9,1;8,7;9,4;9,3;8,6;8,9;8,7;11,9;7,3;6,8;6,7;7,0;7,0;6,7;7,4;6,8;19,3;17,9;18,0;16,2;18,3;18,0;16,0;14,0;16,0
Texas;TX;48;12,2;8,1;5,7;5,9;6,4;6,6;6,3;6,6;6,2;11,2;6,7;5,1;5,2;5,6;5,7;5,6;5,7;5,5;18,8;14,7;11,4;12,0;13,5;13,8;12,7;14,1;12,0
Utah;UT;49;10,4;7,5;5,2;4,8;5,6;5,0;5,2;4,5;5,1;10,5;6,0;5,1;4,9;5,5;4,9;5,2;4,4;5,1;27,3;(B);(B);(B);(B);(B);       (B);     (B);(B)
Vermont;VT;50;10,7;6,4;6,0;5,5;4,4;5,0;4,6;6,5;5,5;10,7;5,9;6,1;5,6;4,5;5,0;4,7;6,2;5,6;(B);(B);(B);(B);(B);(B);      (B);     (B);(B)
