Age;Expectation of life in years;;;;;Expected deaths per 1,000 alive at specified age \2;;;;
;;;;;;;;;;
;;;;;;;;;;
;Total \1;White;;Black;;Total \1;White;;Black;
;;;;;;;;;;
;;Male;Female;Male;Female;;Male;Female;Male;Female
;;;;;;;;;;
At birth;77,7;75,7 ;80,6 ;69,7 ;76,5 ;6,71;6,12;5,01;14,48;12,23
61;21,6;20,9 ;23,0 ;17,5 ;21,5 ;8,90;10,22;6,96;15,88;10,30
62;20,8;20,1 ;22,2 ;16,9 ;20,7 ;9,65;11,07;7,64;16,79;11,06
63;20,0;19,3 ;21,4 ;16,3 ;20,0 ;10,35;11,86;8,25;17,55;11,78
64;19,2;18,6 ;20,6 ;15,7 ;19,3 ;10,99;12,59;8,80;18,12;12,41
65;18,5;17,1 ;19,8 ;15,1 ;18,6 ;11,65;13,36;9,40;18,57;13,01
70;14,9;13,6 ;15,9 ;12,3 ;15,1 ;16,01;18,25;13,65;22,05;16,72
75;11,6;10,5 ;12,3 ;9,8 ;12,0 ;23,15;25,77;21,02;25,72;22,66
80;8,7;7,8 ;9,3 ;7,7 ;9,3 ;30,69;32,57;30,17;26,22;28,04
85;6,4;5,7 ;6,7 ;5,9 ;7,1 ;34,73;34,06;37,36;22,77;30,41
90;4,6;4,0 ;4,7 ;4,5 ;5,3 ;30,44;26,27;36,07;15,76;26,97
95;3,2;2,8 ;3,3 ;3,5 ;3,9 ;17,84;12,62;23,12;7,97;17,71
100;2,3;2,0 ;2,2 ;2,6 ;2,8 ;17,37;8,04;23,73;9,12;28,48
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
