Race and year;Infant \1;Neonatal \1;;Postneonatal \1;Fetal mortality rate \2;Late fetal mortality rate \3;Perinatal mortality rate \4;;Maternal mortality rate \5 ;;
;;Under 28 days;Under 7      days;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ALL RACES;;;;;;;;;;;
1996;14,7;9,6;7,8;5,1;12,5;5,5;13,3;;20,3;;
1997;14,2;9,4;7,8;4,8;12,5;5,5;13,2;;20,8;;
1998;14,3;9,5;7,8;4,8;12,3;5,3;13,1;;17,1;;
1999;14,6;9,8;7,9;4,8;12,6;5,4;13,2;;25,4;;
2000;14,1;9,4;7,6;4,7;12,4;5,4;13,0;;22,0;;
2001;14,0;9,2;7,6;4,8;12,1;5,3;12,8;;24,7;;
2002;14,4;9,5;7,8;4,8;11,9;5,2;12,8;;24,9;;
2003;14,0;9,4;7,5;4,6;12,0;5,1;12,4;\6;30,5;;
2004;13,8;9,1;7,3;4,7;11,5;(NA);(NA);\6;34,7;;
2005;13,7;9,1;7,3;4,7;11,4; (NA); (NA);\6;36,5;;
2006;13,3;8,8;7,0;4,5; (NA); (NA); (NA);;32,7;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
